,lon,lat,class,pop
0,-2.2155501279508534,53.9022031251479,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.534787329665, 0, 0.465212670335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",15.982657289488275
1,-2.213341115487773,53.90047783259338,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
2,-2.2103336818597548,53.89826710896868,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.883546235487, 0, 0.116453764513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.000838169210428
3,-2.217406990687856,53.898467947945164,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.750432476676, 0, 0.249567523324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8.57404032654239
4,-2.118673067381744,53.90687043397135,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
5,-2.1252811244088883,53.907182118897346,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.953446416447, 0, 0.0465535835535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8376323281070146
6,-2.118307507618203,53.909058156083226,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.835227505796, 0, 0.164772494204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.393148644428748
7,-2.120039351995778,53.90891430363521,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
8,-2.203629537991528,53.89164144709304,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
9,-2.2059916573593905,53.89137057921172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.891578787517, 0, 0.108421212483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.7248750787155718
10,-2.1960394702633224,53.90132256989644,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.931887721343, 0, 0.068112278657, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.3400377427311807
11,-2.1902199112871146,53.89943419700995,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
12,-2.1927672823142923,53.90250814017374,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.974870694158, 0, 0.0251293058421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8633322108527622
13,-2.2374705794255796,53.88702979564167,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.275705218625, 0, 0.724294781375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.522785897414156
14,-2.229406932629271,53.93622316264324,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
15,-2.2242799629038763,53.93573140343473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.672373281116, 0, 0.053749803399, 0, 0.273876915485, 0, 0, 0, 0, 0, 0, 0, 0]",0.38279666828883285
16,-2.1318794796721203,53.880231092339244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.524589852316, 0, 0.475410147684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.727136873636267
17,-2.1387819524047664,53.878813805958565,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.656479533476, 0, 0.343520466524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.81581696702146
18,-2.131922065794769,53.87970080401794,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.883569950652, 0, 0.116430049348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.24668725229961
19,-2.131267742334961,53.89177633898598,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.575699970575, 0, 0.424300029425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.392312511170475
20,-2.1390153202370215,53.89126888642804,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.943017924972, 0, 0.0569820750284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5898728816939194
21,-2.1320142306804066,53.89005407033986,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
22,-2.126329461272833,53.89005888695695,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
